"dbpedia_uri";"yago_uri"
"http://dbpedia.org/ontology/Protein";"http://dbpedia.org/class/yago/Protein114728724"
"http://dbpedia.org/ontology/Race";"http://dbpedia.org/class/yago/Race107472657"
"http://dbpedia.org/ontology/RadioStation";"http://dbpedia.org/class/yago/RadioStation104044119"
"http://dbpedia.org/ontology/RecordLabel";"http://dbpedia.org/class/yago/Label107202579"
"http://dbpedia.org/ontology/Reptile";"http://dbpedia.org/class/yago/Reptile101661091"
"http://dbpedia.org/ontology/Restaurant";"http://dbpedia.org/class/yago/Restaurant104081281"
"http://dbpedia.org/ontology/River";"http://dbpedia.org/class/yago/River109411430"
"http://dbpedia.org/ontology/Road";"http://dbpedia.org/class/yago/Road104096066"
"http://dbpedia.org/ontology/Rocket";"http://dbpedia.org/class/yago/Rocket104099429"
"http://dbpedia.org/ontology/Saint";"http://dbpedia.org/class/yago/Saint110546850"
"http://dbpedia.org/ontology/School";"http://dbpedia.org/class/yago/School108276720"
"http://dbpedia.org/ontology/Scientist";"http://dbpedia.org/class/yago/Scientist110560637"
"http://dbpedia.org/ontology/Senator";"http://dbpedia.org/class/yago/Senator110578471"
"http://dbpedia.org/ontology/Ship";"http://dbpedia.org/class/yago/Vessel104530566"
"http://dbpedia.org/ontology/ShoppingMall";"http://dbpedia.org/class/yago/Plaza103965456"
"http://dbpedia.org/ontology/Single";"http://dbpedia.org/class/yago/Medium106254669"
"http://dbpedia.org/ontology/Skyscraper";"http://dbpedia.org/class/yago/Skyscraper104233124"
"http://dbpedia.org/ontology/SoccerPlayer";"http://dbpedia.org/class/yago/FootballPlayer110101634"
"http://dbpedia.org/ontology/SoftballLeague";"http://dbpedia.org/class/yago/SoftballChampionships"
"http://dbpedia.org/ontology/Song";"http://dbpedia.org/class/yago/Song107048000"
"http://dbpedia.org/ontology/SpaceShuttle";"http://dbpedia.org/class/yago/SpaceShuttles"
"http://dbpedia.org/ontology/SpaceStation";"http://dbpedia.org/class/yago/SpaceStations"
"http://dbpedia.org/ontology/Species";"http://dbpedia.org/class/yago/LivingThing100004258"
"http://dbpedia.org/ontology/Sport";"http://dbpedia.org/class/yago/Sport100523513"
"http://dbpedia.org/ontology/SportsLeague";"http://dbpedia.org/class/yago/League108231184"
"http://dbpedia.org/ontology/Station";"http://dbpedia.org/class/yago/Terminal104412901"
"http://dbpedia.org/ontology/Stream";"http://dbpedia.org/class/yago/River109411430"
"http://dbpedia.org/ontology/TelevisionEpisode";"http://dbpedia.org/class/yago/Episode106396330"
"http://dbpedia.org/ontology/TennisPlayer";"http://dbpedia.org/class/yago/TennisPlayer110701180"
"http://dbpedia.org/ontology/Town";"http://dbpedia.org/class/yago/Township108672199"
"http://dbpedia.org/ontology/TradeUnion";"http://dbpedia.org/class/yago/Union108233056"
"http://dbpedia.org/ontology/University";"http://dbpedia.org/class/yago/University108286163"
"http://dbpedia.org/ontology/Valley";"http://dbpedia.org/class/yago/Valley109468604"
"http://dbpedia.org/ontology/Vein";"http://dbpedia.org/class/yago/Vein105418717"
"http://dbpedia.org/ontology/VideogamesLeague";"http://dbpedia.org/class/yago/ElectronicSportsCompetitions"
"http://dbpedia.org/ontology/Village";"http://dbpedia.org/class/yago/Village108672738"
"http://dbpedia.org/ontology/VolleyballLeague";"http://dbpedia.org/class/yago/NationalVolleyballLeagues"
"http://dbpedia.org/ontology/Weapon";"http://dbpedia.org/class/yago/Weapon104565375"
"http://dbpedia.org/ontology/Website";"http://dbpedia.org/class/yago/WebSite106359193"
"http://dbpedia.org/ontology/Work";"http://dbpedia.org/class/yago/Creation103129123"
"http://dbpedia.org/ontology/Wrestler";"http://dbpedia.org/class/yago/Wrestler110793168"
"http://dbpedia.org/ontology/Writer";"http://dbpedia.org/class/yago/Writer110794014"
"http://dbpedia.org/ontology/YearInSpaceflight";"http://dbpedia.org/class/yago/TimelinesOfSpaceflight"
